AQI;CO;no2;o3;pm10;pm25;so2
30.2;19.860.268;0.046857167;55.789.948;10.486.722;56.374.097;0.3874302
28.2;19.760.132;0.046455536;5.493.164;10.719.325;4.618.169;0.40978193
26.6;19.860.268;0.046857167;5.464.554;11.155.578;3.520.902;0.40233135
25.0;20.194.054;0.048195943;5.507.469;11.116.206;22.259.188;0.37625432
26.0;2.052.784;0.048865333;55.789.948;1.040.525;19.794.711;0.33900142
26.0;20.861.626;0.050204106;56.505.203;9.402.518;17.926.769;0.31292439
26.0;20.861.626;0.050204106;55.789.948;8.482.822;17.522.373;0.31292439
24.0;2.052.784;0.050204106;52.928.925;75.866.675;18.584.585;0.3427267
23.0;2.002.716;0.046857167;500.679;76.365.867;22.080.758;0.39488077
24.0;19.693.375;0.044179615;51.498.413;8.487.648;24.766.808;0.42840838
25.0;19.860.268;0.04284084;5.364.418;9.357.371;2.585.729;0.42840838
26.0;2.002.716;0.04049798;55.789.948;10.338.728;2.390.081;0.39860606
27.0;20.360.947;0.040163286;59.366.226;105.233.135;20.860.224;0.3501773
29.0;2.052.784;0.03882451;6.222.725;1.063.597;19.370.468;0.31664968
29.0;2.052.784;0.03882451;62.942.505;9.964.803;18.353.107;0.29802322
29.0;2.052.784;0.03882451;62.942.505;9.214.411;17.251.893;0.28684735
29.0;20.360.947;0.037485734;6.222.725;8.772.117;16.406.621;0.28312206
28.0;20.194.054;0.042506143;60.796.738;8.753.794;16.333.728;0.29429793
27.0;2.002.716;0.050204106;59.366.226;8.807.467;16.368.104;0.3017485
27.0;20.194.054;0.0562286;5.865.097;877.486;16.662.308;0.3054738
27.0;20.194.054;0.0562286;5.865.097;8.675.813;16.905.783;0.3091991
27.0;20.194.054;0.054889824;57.935.715;891.592;17.058.017;0.31292439
27.0;2.002.716;0.052881658;57.935.715;9.227.945;17.327.535;0.32037497
27.0;2.002.716;0.05221227;5.865.097;949.179;17.653.873;0.32410026
27.0;2.002.716;0.05221227;59.366.226;9.907.828;18.273.274;0.32782555
28.0;20.194.054;0.05221227;61.511.993;10.095.885;18.884.155;0.32782555
29.0;20.360.947;0.052881658;6.365.776;9.879.244;18.928.599;0.32037497
31.0;2.052.784;0.05221227;6.651.878;9.503.339;18.595.637;0.31664968
31.0;20.694.733;0.05221227;67.949.295;9.008.138;18.291.963;0.31292439
32.0;20.694.733;0.051542886;6.866.455;8.729.765;17.879.448;0.31664968
32.0;2.052.784;0.050873496;6.866.455;8.912.433;17.960.476;0.31664968
31.0;20.694.733;0.054889824;6.723.404;93.376.875;18.106.897;0.31664968
31.0;20.694.733;0.060914315;6.651.878;9.351.754;18.260.555;0.32037497
30.0;20.861.626;0.05555921;6.580.353;8.640.116;18.226.182;0.32037497
30.0;20.694.733;0.04618778;6.437.302;7.750.329;18.193.358;0.32410026
29.0;2.052.784;0.038155124;6.222.725;6.815.522;18.314.195;0.32782555
27.0;20.360.947;0.030791853;59.366.226;69.653.473;19.296.236;0.33900142
26.0;2.002.716;0.025771443;56.505.203;7.022.172;20.495.067;0.3501773
25.0;2.002.716;0.023428584;5.507.469;69.463.325;21.528.714;0.35762787
25.0;19.860.268;0.023763277;5.364.418;68.342.905;2.219.349;0.36507845
24.0;19.693.375;0.026775524;52.928.925;66.867.456;224.805;0.37252903
24.0;19.526.482;0.03146124;52.928.925;75.935.626;2.276.788;0.37625432
25.0;19.526.482;0.038155124;5.364.418;8.999.838;2.334.924;0.37625432
25.0;19.526.482;0.04351023;5.364.418;11.022.134;23.650.203;0.37252903
25.0;19.693.375;0.04351023;54.359.436;12.198.974;2.366.476;0.37252903
26.0;19.860.268;0.044849;55.789.948;11.969.586;23.696.811;0.37252903
26.0;19.860.268;0.04618778;5.722.046;9.593.794;23.395.455;0.3799796
27.0;19.860.268;0.04551839;57.935.715;7.763.611;23.315.036;0.39115548
27.0;19.860.268;0.044179615;5.865.097;7.517.936;2.324.217;0.39860606
27.0;19.860.268;0.044849;5.865.097;8.041.439;23.202.748;0.39860606
27.0;2.002.716;0.04618778;59.366.226;8.654.108;22.838.447;0.3874302
28.0;2.002.716;0.047526553;60.081.482;8.514.708;2.195.546;0.37625432
28.0;2.002.716;0.046857167;60.081.482;7.923.108;20.661.488;0.36507845
27.0;2.002.716;0.04618778;59.366.226;7.097.172;20.591.707;0.36880374
27.0;19.860.268;0.04551839;5.865.097;681.578;2.072.363;0.37625432
26.0;19.860.268;0.047526553;5.722.046;7.661.589;21.024.218;0.3837049
25.0;19.860.268;0.04551839;54.359.436;8.718.614;22.300.205;0.40233135
23.0;19.860.268;0.03715104;50.783.157;8.457.276;2.501.037;0.42840838
22.0;19.693.375;0.027444912;47.922.134;71.849.914;27.506.132;0.44330955
21.0;19.359.589;0.021253072;4.541.874;6.950.173;2.984.422;0.45448542
20.0;19.359.589;0.017571438;43.988.228;7.205.668;306.595;0.45448542
19.0;19.192.696;0.01573062;4.184.246;78.984.804;31.185.627;0.45076013
19.0;19.192.696;0.015563274;41.484.833;8.744.758;3.090.378;0.43958426
20.0;19.192.696;0.018073479;43.272.972;9.623.435;29.763.355;0.4209578
21.0;19.192.696;0.022089807;4.541.874;10.253.539;28.468.864;0.40978193
21.0;19.192.696;0.025771443;4.541.874;10.703.334;2.771.884;0.40605664
21.0;19.192.696;0.030457158;4.541.874;10.663.057;27.308.512;0.39860606
22.0;19.359.589;0.03547757;4.720.688;10.423.121;2.720.472;0.39115548
24.0;19.526.482;0.039159205;5.221.367;11.240.661;27.131.088;0.3837049
26.0;19.693.375;0.044179615;56.505.203;12.098.125;27.430.437;0.37625432
27.0;19.860.268;0.046857167;59.366.226;12.845.977;27.800.217;0.37252903
28.0;19.860.268;0.047526553;60.796.738;12.583.639;27.458.754;0.36880374
